time,train_id,phase,current_notch,holding_time,prev_notch,prev_notch_duration,speed_limit,signal_speed,current_speed,required_speed,dist_to_next_station,time_to_next_station,req_stop_dist,delay,current_gradient,next_limit_info,next_gradient_info,forward_info,backward_info,forward_train_delay,forward_clear_remaining_time,forward_departed_next,standard_headway,target_speed_no_stop,forward_observed_delay,reward
179.09999999999897,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,2.700000000000001,惰行,1.4000000000000001,70.0,9.3,0,70.0,53.7,0.0,0.0,1.2,9.2,この先制限速度なし,この先目立った勾配なし,前方54.1m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,12.8,12.1,-0.05
161.39999999999998,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,1.0,70.0,29.1,30.12,30.1,89.6,16.6,42.95,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方90.0m先を0.0km/h,後続列車なし,90.0,20.6,未発車,30.0,16.6,0.0,-0.05
167.99999999999972,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.1,力行（加速）,0.1,70.0,15.7,16.99,70.0,61.3,10.0,13.73,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方61.7m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,13.7,1.0,-0.05
152.09999999999943,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,5.699999999999996,惰行,0.1,70.0,8.2,1.36,12.0,52.8,25.9,0.09,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方53.2m先を0.0km/h,後続列車なし,90.0,29.9,未発車,30.0,12.7,0.0,-0.05
170.49999999999878,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.3,惰行,0.1,70.0,0.0,0,70.0,42.7,7.5,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方47.8m先を9.1km/h,後続列車なし,60.0,0.0,発車済み,60.0,70.0,0.0,-0.05
159.29999999999959,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.0999999999999999,力行（加速）,0.1,70.0,11.9,10.01,14.9,56.4,18.7,4.77,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方56.7m先を0.0km/h,後続列車なし,90.0,22.7,未発車,30.0,13.1,0.0,-0.05
149.79999999999956,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,1.7000000000000004,力行（加速）,0.1,70.0,11.2,9.2,12.1,55.5,28.2,4.03,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方55.9m先を0.0km/h,後続列車なし,90.0,32.2,未発車,30.0,13.0,0.0,-0.05
155.69999999999922,Train11,次駅への減速フェーズ（駅手前400m以内）,惰行中,1.7000000000000004,ブレーキ（減速）,0.7999999999999999,70.0,7.6,0,12.6,52.4,22.3,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方52.7m先を0.0km/h,後続列車なし,90.0,26.3,未発車,30.0,12.6,0.0,-0.05
174.29999999999936,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,6.299999999999994,力行（加速）,0.1,70.0,0.0,0,70.0,46.8,3.7,0.0,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方47.2m先を0.0km/h,後続列車なし,90.0,15.0,未発車,30.0,11.9,7.3,-0.05
168.39999999999958,Train11,次駅への減速フェーズ（駅手前400m以内）,ブレーキ（減速）中,0.5,惰行,0.1,70.0,6.1,10.33,70.0,50.5,9.6,5.09,0.0,9.2,この先制限速度なし,この先目立った勾配なし,前方51.8m先を3.8km/h,後続列車なし,90.0,0.0,発車済み,30.0,70.0,0.0,-0.05
